step,loss,learning_rate,examples_seen,group_examples
129,0.12843883854439042,1.3161603909481188e-06,33024,256
130,0.1067084960508069,1.3060554949551205e-06,33280,256
131,0.11897277001502005,1.2959231110780954e-06,33536,256
132,0.08535929689503519,1.2857645909810358e-06,33792,256
133,0.14924240927992827,1.2755812898145155e-06,34048,256
134,0.16472162457873196,1.2653745660349133e-06,34304,256
135,0.12126797562033431,1.2551457812231936e-06,34560,256
136,0.12245026211239285,1.2448962999032714e-06,34816,256
137,0.11402485409796981,1.234627489359984e-06,35072,256
138,0.1212821264968511,1.224340719456694e-06,35328,256
139,0.13611104371157978,1.2140373624525506e-06,35584,256
140,0.1243649322234468,1.203718792819428e-06,35840,256
141,0.13897385626212255,1.1933863870585716e-06,36096,256
142,0.0865474105825399,1.1830415235169716e-06,36352,256
143,0.1279022062474482,1.1726855822034916e-06,36608,256
144,0.13950418854280144,1.1623199446047726e-06,36864,256
145,0.1221484703636122,1.1519459935009455e-06,37120,256
146,0.09664238210152476,1.1415651127811654e-06,37376,256
147,0.11240204424438893,1.1311786872590017e-06,37632,256
148,0.09196065029261113,1.120788102487701e-06,37888,256
149,0.1255807127522779,1.110394744575357e-06,38144,256
150,0.13292106210145427,1.1e-06,38400,256
151,0.07881011818251782,1.0896052554246433e-06,38656,256
152,0.12956330722414222,1.0792118975122991e-06,38912,256
153,0.1716676060725728,1.0688213127409985e-06,39168,256
154,0.09086339102586916,1.0584348872188345e-06,39424,256
155,0.13533039117157708,1.0480540064990547e-06,39680,256
156,0.13715164323117968,1.0376800553952277e-06,39936,256
157,0.11938850599717998,1.0273144177965085e-06,40192,256
158,0.18726537460772796,1.0169584764830283e-06,40448,256
159,0.11172155024025354,1.0066136129414285e-06,40704,256
160,0.14171616342372761,9.962812071805722e-07,40960,256
161,0.1189827702029902,9.859626375474495e-07,41216,256
162,0.1429156327476626,9.75659280543306e-07,41472,256
163,0.10100790621663158,9.65372510640016e-07,41728,256
164,0.08577588710521411,9.551037000967285e-07,41984,256
165,0.1702884247299199,9.448542187768065e-07,42240,256
166,0.12319823617368542,9.346254339650867e-07,42496,256
167,0.12312122762173949,9.244187101854845e-07,42752,256
168,0.08764653525321009,9.142354090189641e-07,43008,256
169,0.13143522082529557,9.040768889219046e-07,43264,256
170,0.12005426638100403,8.939445050448793e-07,43520,256
171,0.07545356281123361,8.838396090518814e-07,43776,256
172,0.1364758822513843,8.737635489400074e-07,44032,256
173,0.14005735902311223,8.637176688596386e-07,44288,256
174,0.1342227233445934,8.537033089351255e-07,44544,256
175,0.07347107960402255,8.437218050860191e-07,44800,256
176,0.12534545807369213,8.337744888488569e-07,45056,256
177,0.09939405186604944,8.238626871995344e-07,45312,256
178,0.1072661907676018,8.139877223762888e-07,45568,256
179,0.1408052052525628,8.041509117033087e-07,45824,256
180,0.10001188764344704,7.943535674150048e-07,46080,256
181,0.1474809547071212,7.845969964809567e-07,46336,256
182,0.060579657113784435,7.748825004315625e-07,46592,256
183,0.12138828437177906,7.652113751844131e-07,46848,256
184,0.093855273304011,7.555849108714191e-07,47104,256
185,0.12411309473897525,7.460043916667036e-07,47360,256
186,0.1098951507599355,7.364710956152946e-07,47616,256
187,0.16474282577063093,7.269862944626328e-07,47872,256
188,0.15091478178073636,7.175512534849207e-07,48128,256
189,0.09988350082129926,7.08167231320333e-07,48384,256
190,0.0811708502929065,6.98835479801116e-07,48640,256
191,0.14165918462483518,6.895572437865896e-07,48896,256
192,0.14416943988136488,6.803337609970866e-07,49152,256
193,0.07952912801004786,6.711662618488365e-07,49408,256
194,0.1294634322573618,6.620559692898294e-07,49664,256
195,0.11664015567641606,6.530040986366735e-07,49920,256
196,0.11542185672976046,6.440118574124727e-07,50176,256
197,0.10408685103763826,6.350804451857407e-07,50432,256
198,0.12315277871365904,6.262110534103801e-07,50688,256
199,0.13168733387449816,6.174048652667392e-07,50944,256
200,0.09975968808253377,6.086630555037792e-07,51200,256
201,0.16417203586932416,5.999867902823579e-07,51456,256
202,0.11693262569495655,5.913772270196673e-07,51712,256
203,0.14370322680070968,5.828355142348307e-07,51968,256
204,0.09767385132508011,5.743627913956909e-07,52224,256
205,0.10537629713074637,5.65960188766806e-07,52480,256
206,0.1783310898948649,5.576288272586693e-07,52736,256
207,0.13314928034355056,5.493698182781812e-07,52992,256
208,0.09014784664665143,5.411842635803858e-07,53248,256
209,0.10731397842576484,5.330732551214983e-07,53504,256
210,0.11994799171461068,5.25037874913235e-07,53760,256
211,0.08803883927291878,5.170791948784745e-07,54016,256
212,0.11091650754696403,5.091982767082618e-07,54272,256
213,0.08340406080197837,5.013961717201789e-07,54528,256
214,0.11478249612843427,4.936739207180985e-07,54784,256
215,0.13896030534359483,4.860325538533397e-07,55040,256
216,0.09789703104122438,4.784730904872459e-07,55296,256
217,0.12986635581941108,4.709965390552015e-07,55552,256
218,0.13200483841617228,4.636038969321073e-07,55808,256
219,0.09994404964911041,4.5629615029932804e-07,56064,256
220,0.15971019171015755,4.4907427401313735e-07,56320,256
221,0.10823567941796064,4.419392314746703e-07,56576,256
222,0.09772977138332806,4.3489197450140657e-07,56832,256
223,0.1380889377537713,4.279334432001972e-07,57088,256
224,0.16542853273170444,4.2106456584185247e-07,57344,256
225,0.08574741464331304,4.1428625873731245e-07,57600,256
226,0.1016363300255918,4.07599426115409e-07,57856,256
227,0.1282924977262958,4.010049600022429e-07,58112,256
228,0.13995853809632308,3.945037401021859e-07,58368,256
229,0.14887690718516922,3.8809663368052803e-07,58624,256
230,0.1072143054343293,3.8178449544778447e-07,58880,256
231,0.0848955087104244,3.7556816744567723e-07,59136,256
232,0.1174452225772491,3.6944847893480515e-07,59392,256
233,0.16487836998779137,3.6342624628402085e-07,59648,256
234,0.09776166052929902,3.575022728615278e-07,59904,256
235,0.14789272414131105,3.516773489277092e-07,60160,256
236,0.1271667688998166,3.459522515297076e-07,60416,256
237,0.1199388978680318,3.403277443977662e-07,60672,256
238,0.12812372956882712,3.348045778433474e-07,60928,256
239,0.07050693429942712,3.2938348865904066e-07,61184,256
240,0.09202909392954073,3.240652000202745e-07,61440,256
241,0.14896641321890947,3.188504213888437e-07,61696,256
242,0.15016449958203282,3.1373984841826755e-07,61952,256
243,0.11862204159809409,3.087341628609893e-07,62208,256
244,0.1350733898279941,3.038340324774301e-07,62464,256
245,0.13149693993972278,2.990401109469095e-07,62720,256
246,0.11438751627976274,2.94353037780444e-07,62976,256
247,0.11093155558554546,2.897734382354362e-07,63232,256
248,0.0993306575284496,2.853019232322661e-07,63488,256
249,0.15225242353900192,2.8093908927279273e-07,63744,256
250,0.11168248255476954,2.766855183607812e-07,64000,256
251,0.0969443527009961,2.725417779242633e-07,64256,256
252,0.09529383411092951,2.6850842073984193e-07,64512,256
253,0.10993143041195985,2.6458598485895145e-07,64768,256
254,0.1200631264228873,2.607749935360798e-07,65024,256
255,0.11310245040399636,2.570759551589679e-07,65280,256
256,0.11066952342765646,2.5348936318078907e-07,65536,256
257,0.09945189384038677,2.500156960543233e-07,65792,256
258,0.10916472737324057,2.4665541716813076e-07,66048,256
259,0.18712940479069928,2.4340897478473565e-07,66304,256
260,0.10566767513434527,2.40276801980828e-07,66560,256
261,0.09620832641958543,2.372593165894913e-07,66816,256
262,0.058875449815452896,2.3435692114446286e-07,67072,256
263,0.11999283875175504,2.3157000282643597e-07,67328,256
264,0.11626706052851166,2.2889893341140984e-07,67584,256
265,0.09819058694730476,2.263440692210941e-07,67840,256
266,0.08763379341953481,2.2390575107537642e-07,68096,256
267,0.09367226489565894,2.2158430424685592e-07,68352,256
268,0.12135239536805109,2.1938003841745198e-07,68608,256
