checkpoint,probabilities,benchmark,n,accuracy,ece15,brier_summed,nll,temperature
250,raw,JudgeBench,350,0.7885714285714286,0.06657551538525161,0.3021833790750944,0.4631875186917887,1
250,fitted,JudgeBench,350,0.7885714285714286,0.07045917529442494,0.29907578320353234,0.45720382256123915,2.000758882328426
286,raw,JudgeBench,350,0.7914285714285715,0.07970385503028563,0.3085867029853928,0.47927932776865606,1
286,fitted,JudgeBench,350,0.7914285714285715,0.07419676902252645,0.30176400653987345,0.4600564842855637,2.0659711424646567
Jev,native,JudgeBench,350,0.7857142857142857,0.040914285714285695,0.30316457142857145,0.470473228858025,
0,raw,BBH,750,0.7293333333333333,0.03804246944249177,0.35322047935836803,0.6124610114552461,1
0,fitted,BBH,750,0.7293333333333333,0.04599657787702768,0.35390506090536283,0.6225413043827401,1.273257865016053
50,raw,BBH,750,0.8,0.04037954424111205,0.271971418667945,0.49839773135763393,1
50,fitted,BBH,750,0.8,0.11249028044108532,0.29882923967987096,0.5393136703899986,2.3839924475693497
100,raw,BBH,750,0.82,0.039809402918182676,0.24877133012051048,0.45669162898099847,1
100,fitted,BBH,750,0.82,0.09267556470869077,0.2664655609098257,0.48343497347460357,2.0155883330892665
150,raw,BBH,750,0.828,0.0458232364015245,0.248265618882377,0.4644883774603495,1
150,fitted,BBH,750,0.828,0.07537546018722274,0.25304114625949453,0.4637599985140185,2.178979953207672
200,raw,BBH,750,0.828,0.056552966920366876,0.23838784343354832,0.45238040078815084,1
200,fitted,BBH,750,0.828,0.07598160753243094,0.24544098803457762,0.45257759692770516,2.207568021892729
250,raw,BBH,750,0.8293333333333334,0.04304318083864521,0.23677372552134682,0.4417343906084204,1
250,fitted,BBH,750,0.8293333333333334,0.07756908163815832,0.24679201817396054,0.4526612514594618,2.000758882328426
286,raw,BBH,750,0.828,0.04075670802364882,0.237530779077868,0.44771989153451053,1
286,fitted,BBH,750,0.828,0.07205545170299658,0.2455851018304793,0.4497693036710865,2.0659711424646567
Jev,native,BBH,750,0.9426666666666667,0.02068161616161611,0.09198230520695166,0.26819004894411325,
0,raw,JevBench public hard,101,0.7326732673267327,0.07730873099759102,0.31894313982717537,0.5572377459972874,1
0,fitted,JevBench public hard,101,0.7326732673267327,0.11861360440303614,0.32089781933696443,0.5738416914717378,1.273257865016053
50,raw,JevBench public hard,101,0.7326732673267327,0.10696929935915545,0.29873896730272287,0.5527204662457715,1
50,fitted,JevBench public hard,101,0.7326732673267327,0.09151211307095575,0.3152422418841796,0.5677596209009205,2.3839924475693497
100,raw,JevBench public hard,101,0.6732673267326733,0.12374864486175868,0.3455850090142511,0.5889524956068672,1
100,fitted,JevBench public hard,101,0.6732673267326733,0.11345369039795718,0.3273704760494577,0.5687246557574971,2.0155883330892665
150,raw,JevBench public hard,101,0.7227722772277227,0.13408706430765752,0.3573675013566218,0.6265904809435191,1
150,fitted,JevBench public hard,101,0.7227722772277227,0.05918109431073937,0.3201676173828128,0.5623320670242266,2.178979953207672
200,raw,JevBench public hard,101,0.7029702970297029,0.12514409087103395,0.35530597160316923,0.5954304335157552,1
200,fitted,JevBench public hard,101,0.7029702970297029,0.06910815837677986,0.3160386754828251,0.5416523509517271,2.207568021892729
250,raw,JevBench public hard,101,0.7227722772277227,0.10614322472162087,0.33393559200346745,0.553465719039761,1
250,fitted,JevBench public hard,101,0.7227722772277227,0.098391840127114,0.3065040482480906,0.5282534131291988,2.000758882328426
286,raw,JevBench public hard,101,0.7029702970297029,0.12431225783632951,0.3436185699224613,0.5733693662549493,1
286,fitted,JevBench public hard,101,0.7029702970297029,0.08603341243787826,0.3112116200786704,0.5323868848753771,2.0659711424646567
Jev,native,JevBench public hard,101,0.7326732673267327,0.09732673267326734,0.3545722772277228,0.6160242890623672,
0,raw,Overall,4700,0.6982978723404255,0.09017161711784452,0.4189888895165923,0.6947301664764982,1
0,fitted,Overall,4700,0.6982978723404255,0.06483419075645377,0.4083374660767397,0.6515979729616407,1.273257865016053
50,raw,Overall,4700,0.8202127659574469,0.05045153536981481,0.2613247578438673,0.49500812060018434,1
50,fitted,Overall,4700,0.8202127659574469,0.06738673264455655,0.2690180685707606,0.4480501772325853,2.3839924475693497
100,raw,Overall,4700,0.8321276595744681,0.04757388322292601,0.23944624126272188,0.409212230368984,1
100,fitted,Overall,4700,0.8321276595744681,0.05386601140790918,0.24193455915867867,0.4023850440051447,2.0155883330892665
150,raw,Overall,4700,0.8408510638297872,0.06708075963527621,0.23889908584573108,0.4354737784741648,1
150,fitted,Overall,4700,0.8408510638297872,0.03246380261666161,0.2292862678472232,0.3834889749427584,2.178979953207672
200,raw,Overall,4700,0.8459574468085106,0.058733322619939236,0.2240036017510722,0.4037125661937172,1
200,fitted,Overall,4700,0.8459574468085106,0.04281665204791417,0.22026712983921407,0.37154761685795246,2.207568021892729
250,raw,Overall,4700,0.845531914893617,0.046257785550889455,0.22507093492687996,0.3925649176045197,1
250,fitted,Overall,4700,0.845531914893617,0.051919028158899976,0.22642631905369298,0.38040596489456024,2.000758882328426
286,raw,Overall,4700,0.843404255319149,0.05156250074130331,0.22722261028689705,0.4021101223398625,1
286,fitted,Overall,4700,0.843404255319149,0.0440182936756638,0.2256379486357912,0.37855970279387136,2.0659711424646567
Jev,native,Overall,4700,0.8278723404255319,0.05273924349881791,0.25400450814615094,0.6524500324054918,
